bdxdrift_main_volume  |                root  |       BDX DRIFT Mother Volume  |                                  0*cm 0.0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  150.0*cm 150.0*cm 150.0*cm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
               drift  |bdxdrift_main_volume  |        BDX-DRIFT drift volume  |                                  0*cm 0.0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                   87.5*cm  87.5*cm  87.5*cm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                flux  |                flux  |                                   drift 
    gd_foil_front_00  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil front 0  |                            -87.5*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    gd_foil_front_01  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil front 1  |                         -86.2375*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    gd_foil_front_02  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil front 2  |                          -84.975*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    gd_foil_front_03  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil front 3  |                         -83.7125*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    gd_foil_front_04  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil front 4  |                           -82.45*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    gd_foil_front_05  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil front 5  |                         -81.1875*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    gd_foil_front_06  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil front 6  |                          -79.925*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    gd_foil_front_07  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil front 7  |                         -78.6625*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    gd_foil_front_08  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil front 8  |                            -77.4*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
